RUBRO,NOMBRE_FANTASIA,DIRECCION,NUMERO,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABITACIONES,PLAZAS,TITULAR,E-MAIL,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
ALOJAMIENTO,HOSTEL MAGICO,BELTRAN,669,CIUDAD,SAN RAFAEL,260-4461136,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"DOMINGUEZ, DAVID ESTEBAN",davidvillegas39@hotmail.com,ALOJAMIENTO HOSTEL MAGICO CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,HOTEL GEMINIS,PATRICIAS MENDOCINAS,1759,CIUDAD,CAPITAL,4291407,ALOJAMIENTO,SIN CATEGORIZAR,E/T,22,62.0,"EDWIN, JORGE NELSON",,ALOJAMIENTO HOTEL GEMINIS CIUDAD CAPITAL MENDOZA,-32.8825655,-68.8411627,1
ALOJAMIENTO,MOD HOTELS,JOSE FEDERICO MORENO,1230,CIUDAD,CAPITAL,4597700,HOTEL,4 ESTRELLAS,INSCRIPTO,84,200.0,MOD HOTELS S.A.,reservas@the-mod.com,ALOJAMIENTO MOD HOTELS CIUDAD CAPITAL MENDOZA,-32.8894241,-68.8329818,1
HOTEL,DIPLOMATIC PACK SUITES HOTELES,BELGRANO,1041,CIUDAD,CAPITAL,4051900,HOTEL,5 ESTRELLAS,INSCRIPTO,178,360.0,DIPLOMATIC SERVICE S.A.,reservas@parksuites.com.ar,HOTEL DIPLOMATIC PACK SUITES HOTELES CIUDAD CAPITAL MENDOZA,-32.8892959,-68.8495494,1
ALOJAMIENTO,POSADA CAVIERS BED & BREAKFAST,ESPEJO ESTE,3705,RUSSELL,MAIPU,156074303,BED & BREAKFAST,BED & BREAKFAST,INSCRIPTO,3,10.0,"DEVLOO, HANS",posada@caviereswines.com,ALOJAMIENTO POSADA CAVIERS BED & BREAKFAST RUSSELL MAIPU MENDOZA,-33.011908,-68.7550468,1
HOSTEL,SIMPLEMENTE MENDOZA,PATRICIAS MENDOCINAS,858,CIUDAD,CAPITAL,4297356,HOSTEL,HOSTEL,INSCRIPTO,5,22.0,"SABA, ISABEL",,HOSTEL SIMPLEMENTE MENDOZA CIUDAD CAPITAL MENDOZA,-32.892509,-68.844079,1
CABAÑAS,APART HOTEL CALDERON,EL TOLEDANO NORTE,255,LAS PAREDES,SAN RAFAEL,0260-4426660-4426927- 154533794,CABAÑAS,2 ESTRELLAS,INSCRIPTO,6,28.0,"CALDERON, MARIA TERESA",info@cabanascalderon.com.ar / www.cabanascalderon.com.ar,CABAÃÂ¥AS APART HOTEL CALDERON LAS PAREDES SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,ALOJATUR,BALLOFFET,75,CIUDAD,SAN RAFAEL,0260-4425100,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,23.0,"HERRERO, MARIA DE LOS ANGELES",,ALOJAMIENTO ALOJATUR CIUDAD SAN RAFAEL MENDOZA,-34.6138904,-68.339923,0
ALOJAMIENTO,ATUEL CABAÃÂ¥AS,RUTA 173,S/N,VALLE GRANDE,SAN RAFAEL,0260-154403173,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"ALE, SILVIA",ale.silvia844@hotmail.com,ALOJAMIENTO ATUEL CABAÃÂ¥AS VALLE GRANDE SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
HOSPEDAJE,LOS 4 HERMANOS,AV.SAN MARTIN SUR,1834,CIUDAD,MALARGUE,0260-4470433,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,5,19.0,"MOYANO, RAQUEL ROSA",raquelrosamoyano@yahoo.com.ar,HOSPEDAJE LOS 4 HERMANOS CIUDAD MALARGUE MENDOZA,-35.4855393,-69.5855915,2
ALOJAMIENTO,CABAÃÂ¥AS USPALLATA,RUTA 7,KM.1150,USPALLATA,LAS HERAS,4200619,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,54.0,"CEJUDO, MARIO",cabanasuspallata@gmail.com,ALOJAMIENTO CABAÃÂ¥AS USPALLATA USPALLATA LAS HERAS MENDOZA,-32.5910827,-69.3478836,1
ALOJAMIENTO,RESIDENCIAL MOLINA,9 DE JULIO,S/N,VILLA NUEVA,LA PAZ,02626-421974,ALOJAMIENTO,HOSPEDAJE,INSCRIPTO,8,22.0,"MOLINA, ANA MARIA",,ALOJAMIENTO RESIDENCIAL MOLINA VILLA NUEVA LA PAZ MENDOZA,-32.90131,-68.7826614,1
ALOJAMIENTO,EL CAPITAN,CMTE.SALAS Y TELLES MENESES,S/N,CIUDAD,MALARGUE,0260-4471534,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,25.0,"VALENTE, PAOLA MARIEL",hostel_elcapitan@yahoo.com.ar,ALOJAMIENTO EL CAPITAN CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
ALOJAMIENTO,FINCA CASAS VIEJAS,VALENTIN BIANCHI,68 00,LAS PAREDES,SAN RAFAEL,264-677764,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MARTINEZ, SANFRA BEATRIZ",sanrafaelrural@yahoo.com.ar,ALOJAMIENTO FINCA CASAS VIEJAS LAS PAREDES SAN RAFAEL MENDOZA,-34.5251226,-68.3940899,0
ALOJAMIENTO,ERMITAZH,RUTA 173,KM.21,VALLE GRANDE,SAN RAFAEL,011-64663536,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"TSERTSELLA, RITA",,ALOJAMIENTO ERMITAZH VALLE GRANDE SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,COMPLEJO TURISTICO LA PRIMAVERA,CRAYON,S/N,LA PRIMAVERA,TUNUYAN,02622-1566119 - 4049165,ALOJAMIENTO,SIN CATEGORIZAR,E/T,7,37.0,"TOBAR, MARIA FERNANDA",,ALOJAMIENTO COMPLEJO TURISTICO LA PRIMAVERA LA PRIMAVERA TUNUYAN MENDOZA,-33.6264366,-69.0560859,3
ALOJAMIENTO,SARMIENTO,SARMIENTO,274,CIUDAD,GRAL.ALVEAR,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"NAVAS, MIRTA",,ALOJAMIENTO SARMIENTO CIUDAD GRAL.ALVEAR MENDOZA,-34.9809477,-67.6969975,0
ALOJAMIENTO,CUMBRES DEL MIRADOR,RUTA 7,KM1143,USPALLATA,LAS HERAS,011-1559796362 - 02622-437189,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,20.0,"GONZALEZ, FLAVIO JUAN",flaviogonz@yahoo.com.ar,ALOJAMIENTO CUMBRES DEL MIRADOR USPALLATA LAS HERAS MENDOZA,-32.6378893,-69.3566212,1
ALOJAMIENTO,SERGIO BRITTOS,BUENOS AIRES,66,CIUDAD,CAPITAL,4238477,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BRITTOS, SERGIO MIGUEL",,ALOJAMIENTO SERGIO BRITTOS CIUDAD CAPITAL MENDOZA,-32.8968869,-68.8504996,1
PAT,APART VITERES,LAS HERAS,652,EUGENIO BUSTOS,SAN CARLOS,02622-451813,PAT,PAT,INSCRIPTO,,,"QUINTEROS, BLANCA DELIA",,PAT APART VITERES EUGENIO BUSTOS SAN CARLOS MENDOZA,-33.7833325,-69.065678,3
HOTEL,ABRIL HOTEL,PATRICIAS MENDOCINAS,866,CIUDAD,CAPITAL,4290082-4290027,HOTEL,2 ESTRELLAS,INSCRIPTO,22,52.0,"MULLER, MAXIMO-ANA-MARTIN",abrilhotel@speedy.com.ar,HOTEL ABRIL HOTEL CIUDAD CAPITAL MENDOZA,-32.8924983,-68.844128,1
ALOJAMIENTO,WINERIES,URQUIZA,2997,COQUIMBITO,MAIPU,4817224,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18.0,"COMCHA, CRISTIAN GABRIEL",winerieshostel@hotmail.com,ALOJAMIENTO WINERIES COQUIMBITO MAIPU MENDOZA,-32.9672808,-68.7551208,1
ALOJAMIENTO,ARCO IRIS,EL CHAÃÂ¥ARAL,776,LAS PAREDES,SAN RAFAEL,0260-4591478,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,8.0,"CATALINI, MAURICIO",,ALOJAMIENTO ARCO IRIS LAS PAREDES SAN RAFAEL MENDOZA,-34.583333,-68.45,0
PAT,ROMANO DEPARTAMENTOS,LAVALLE,35,CIUDAD,CAPITAL,4235774,PAT,PAT,INSCRIPTO,,,"ROMANO, SUSANA ESTER",,PAT ROMANO DEPARTAMENTOS CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,EL PARAISO PERDIDO,MARGINAL ESTE,S/N,EL CARRIZAL,RIVADAVIA,155022940,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"POSTIZZI, DANIEL FRANCISCO",,ALOJAMIENTO EL PARAISO PERDIDO EL CARRIZAL RIVADAVIA MENDOZA,-33.3217114,-68.7598031,1
ALOJAMIENTO,LA POSADA DEL JAMON,RUTA 92,KM13,VISTA FLORES,TUNUYAN,02622-492053,PAT,PAT,INSCRIPTO,10,38.0,"CAIRO, MIGUEL ANGEL",laposadaj@hotmail.com,ALOJAMIENTO LA POSADA DEL JAMON VISTA FLORES TUNUYAN MENDOZA,-33.6504889,-69.1566058,3
HOTEL,DAKAR,JOSE FEDERICO MORENO,1554,CIUDAD,CAPITAL,4201379,HOTEL,1 ESTRELLA,INSCRIPTO,61,22.0,EL CONSTRUCTOR S.A.,reservas@dakarsuites.com.ar,HOTEL DAKAR CIUDAD CAPITAL MENDOZA,-32.8851575,-68.8327543,1
PAT,GALA,AV.GODOY CRUZ,213,CIUDAD,CAPITAL,4259987,PAT,PAT,INSCRIPTO,,,IMAGINA S.A.,reservas@aparthotelgala.com,PAT GALA CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,PARK SUITES,AV.ESPAÃÂ¥A,1485,CIUDAD,CAPITAL,4297243,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,20.0,PARK SUITE J&A S.R.L.,,ALOJAMIENTO PARK SUITES CIUDAD CAPITAL MENDOZA,-34.5869034,-68.1431414,0
ALOJAMIENTO,TUPUNGATO DIVINO,LOS EUROPEOS,S/N,GUALTALLARY,TUPUNGATO,261-3170016 - 02622-15448948,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,10.0,"VIEGAS, SERGIO",,ALOJAMIENTO TUPUNGATO DIVINO GUALTALLARY TUPUNGATO MENDOZA,-33.431083,-69.2037741,3
ALOJAMIENTO,CANTORIA,AV.LIBERTADOR NORTE,615,CIUDAD,GRAL.ALVEAR,02625-15663598,ALOJAMIENTO,SIN CATEGORIZAR,E/T,25,33.0,"FERNANDEZ, SERGIO",,ALOJAMIENTO CANTORIA CIUDAD GRAL.ALVEAR MENDOZA,-34.9714415,-67.689039,0
HOSTEL,HS MENDOZA,PATRICIAS MENDOCINAS,1532,CIUDAD,CAPITAL,4237018,HOSTEL,HOSTEL,INSCRIPTO,40,115.0,JPF S.A.,,HOSTEL HS MENDOZA CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
CABAÑAS,CABAÃÂ¥AS MARANA-THA,SAN MARTIN NORTE,1607,CIUDAD,MALARGUE,0260-4470932-154562104,CABAÑAS,1 ESTRELLA,INSCRIPTO,3,15.0,"IBAÃÂ¥EZ, MARIA SUSANA",cabanamaratha@hotmail.com,CABAÃÂ¥AS CABAÃÂ¥AS MARANA-THA CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
ALOJAMIENTO,AL SUR,BATALLON NUEVA CREACION E.,127,CIUDAD,MALARGUE,0260-4472141/4472226,ALOJAMIENTO,SIN CATEGORIZAR,E/T,7,40.0,KAREN TRAVEL TURISMO,info@karentravel.com.ar,ALOJAMIENTO AL SUR CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
APART-HOTEL,APART HOTEL MENDOZA,SALTA,1244,CIUDAD,CAPITAL,4235138,APART-HOTEL,1 ESTRELLA,INSCRIPTO,23,40.0,RESGUARDOS CUYANOS S.A.,administracion@gardenhotelesmendoza.com,APART-HOTEL APART HOTEL MENDOZA CIUDAD CAPITAL MENDOZA,-32.8865681,-68.845234,1
PAT,CABAÃÂ¥AS ALTO POTRERILLOS,LOS CONDORES,S/N,POTRERILLOS,LUJAN DE CUYO,4370483-154600205,PAT,PAT,INSCRIPTO,10,20.0,CABAÃÂ¥AS ALTO POTRERILLOS S.A.,www.altopotrerillos.com.ar,PAT CABAÃÂ¥AS ALTO POTRERILLOS POTRERILLOS LUJAN DE CUYO MENDOZA,-32.956122,-69.287359,1
ALOJAMIENTO,CAVIAHUE HOSTEL,SUIPACHA,750,CIUDAD,CAPITAL,4254625,HOSTEL,HOSTEL,INSCRIPTO,5,20.0,"GIGENA, RAMON FERNANDO",fernandogigiena@hotmail.com,ALOJAMIENTO CAVIAHUE HOSTEL CIUDAD CAPITAL MENDOZA,-34.5869034,-68.1431414,0
ALOJAMIENTO,COMPLEJO TURISTICO MI SUEÃÂ¥O,ALSINA,820,CIUDAD,SAN RAFAEL,0260-4439571,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,38.0,"SAVISKY, MONICA MARCELINA",monisavisky@hotmail.com,ALOJAMIENTO COMPLEJO TURISTICO MI SUEÃÂ¥O CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,POSADA CACHEUTA,RUTA PRO.82,KM.21,CACHEUTA,LAS HERAS,4901043,CABAÑAS,1 ESTRELLA,INSCRIPTO,7,35.0,"BONILLA, OMAR",,ALOJAMIENTO POSADA CACHEUTA CACHEUTA LAS HERAS MENDOZA,-33.0392229,-68.9994903,1
ALOJAMIENTO,SOL NACIENTE,LUZURIAGA,238,CIUDAD,SAN RAFAEL,0260-4427178,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,12.0,"GONZALEZ, FRANCISCO JOSE",,ALOJAMIENTO SOL NACIENTE CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,ROGUPANI,BERNARDO DE IRIGOYEN,695,CIUDAD,SAN RAFAEL,0260-4428940,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,22.0,"ESTEVEZ, DORA NOEMI",rogupani@hotmail.com,ALOJAMIENTO ROGUPANI CIUDAD SAN RAFAEL MENDOZA,-34.6096172,-68.3253572,0
ALOJAMIENTO,FINCA GARCIARENA,COBOS,10196,AGRELO,LUJAN DE CUYO,5629995,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GARCIARENA, MARIA DEL CARMEN",fincagarciarena@hotmail.com,ALOJAMIENTO FINCA GARCIARENA AGRELO LUJAN DE CUYO MENDOZA,-33.1341156,-68.9172942,1
PAT,EL PINAR EN LA VENTANA,LOS ZORZALES,S/N,POTRERILLOS,LUJAN DE CUYO,4262756-155903928,PAT,PAT,INSCRIPTO,4,32.0,"LUQUE, CARLOS",www.elpinarenlaventana.com,PAT EL PINAR EN LA VENTANA POTRERILLOS LUJAN DE CUYO MENDOZA,-33.017659,-69.3039717,1
ALOJAMIENTO,CAVAS WINE LODGE,COSTAFLORES,S/N,ALTO AGRELO,LUJAN DE CUYO,4106927,CABAÑAS,4 ESTRELLAS,INSCRIPTO,14,28.0,CAVAS WINE LODGE S.A.,mrigal@cavaswinelodge.com,ALOJAMIENTO CAVAS WINE LODGE ALTO AGRELO LUJAN DE CUYO MENDOZA,-33.1157667,-68.9276165,1
ALOJAMIENTO,GAIA,SAN MARTIN NORTE,2596,CIUDAD,MALARGUE,0260-154638103,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,13.0,"QUIROGA, NORBERTO",,ALOJAMIENTO GAIA CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
ALOJAMIENTO,MI LINDA CASITA,RUTA 50,KM1026,ALTO VERDE,SAN MARTIN,0263-154661224,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"PONCE, WALTER",walterdemendoza@hotmail.com,ALOJAMIENTO MI LINDA CASITA ALTO VERDE SAN MARTIN MENDOZA,-33.1084116,-68.39059,1
HOTEL,INTERCONTINENTAL MENDOZA,BV.PEREZ CUESTA Y LATERAL ACCESO NORTE,S/N,VILLA NUEVA,GUAYMALLEN,5218800,HOTEL,5 ESTRELLAS,INSCRIPTO,180,360.0,KLP EMPRENDIMIENTOS S.A.,www.intercontinentalmendoza.com - info@intercontinentalmendoza.com,HOTEL INTERCONTINENTAL MENDOZA VILLA NUEVA GUAYMALLEN MENDOZA,-32.90131,-68.7826614,1
HOSPEDAJE,TIBET,GRAL.PAZ,360,CIUDAD,CAPITAL,4259285,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,,,APO TSANG KARMA GELEK,,HOSPEDAJE TIBET CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,15 MARIAS,MITRE,4850,CUADRO NACIONAL,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BORDON, ALEJANDRA",,ALOJAMIENTO 15 MARIAS CUADRO NACIONAL SAN RAFAEL MENDOZA,-34.6179199,-68.2827911,0
CABAÑAS,CANTAROS DEL ACONCAGUA,RUTA PANAMERICA,KM.18,BLANCO ENCALADA,LUJAN DE CUYO,4892029,CABAÑAS,2 ESTRELLAS,INSCRIPTO,6,20.0,VALPARAISO S.A.,www.cantarosdelaconcagua.com - reservas@cantarosdelaconcagua.com,CABAÃÂ¥AS CANTAROS DEL ACONCAGUA BLANCO ENCALADA LUJAN DE CUYO MENDOZA,-33.0250854,-68.9617691,1
PAT,TERRAZAS EN EL BOSQUE,LOS ABEDULES,425,CIUDAD,MALARGUE,0260-154636622,PAT,PAT,INSCRIPTO,3,18.0,"ARDALLA, MARIA CELIA",terrazasenelbosque@gmail.com,PAT TERRAZAS EN EL BOSQUE CIUDAD MALARGUE MENDOZA,-35.4540214,-69.5806961,2
ALOJAMIENTO,HOSTEL MALBEC,AV.SAN MARTIN,1446,CIUDAD,CAPITAL,4290139,ALOJAMIENTO,SIN CATEGORIZAR,E/T,17,40.0,"SUSSO, MARIA FLORENCIA",info@malbechostel.com.ar,ALOJAMIENTO HOSTEL MALBEC CIUDAD CAPITAL MENDOZA,-32.8869456,-68.8385983,1
ALOJAMIENTO,POSADA EL ENCUENTRO EN CHACRAS DE CORIA,CAPITAN CANDELARIA,5413,CHACRAS DE CORIA,LUJAN DE CUYO,4963828,HOSTERIA,3 ESTRELLAS,INSCRIPTO,10,33.0,POSADA EL ENCUENTRO S.R.L.,info@posadaelencuentro.com,ALOJAMIENTO POSADA EL ENCUENTRO EN CHACRAS DE CORIA CHACRAS DE CORIA LUJAN DE CUYO MENDOZA,-32.9847524,-68.8879746,1
ALOJAMIENTO,ACASIAS DE LA VILLA,SARMIENTO,148,25 DE MAYO,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"SALINAS, SUSANA TERESA",,ALOJAMIENTO ACASIAS DE LA VILLA 25 DE MAYO SAN RAFAEL MENDOZA,-34.5856527,-68.5457268,0
ALOJAMIENTO,EL RINCON DE LA CARRETA,"RUTA NAC,143",S/N,PAREDITAS,SAN CARLOS,02627-15483267,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30.0,"TOMAS, JUAN DE DIOS",juandariotomas@gmail.com,ALOJAMIENTO EL RINCON DE LA CARRETA PAREDITAS SAN CARLOS MENDOZA,-33.9426032,-69.0785906,3
PAT,POSADA DEL SOL,MB-C4-BÃÂ§ PARQIE LOURDES,S/N,EL CHALLAO,LAS HERAS,4441854,PAT,PAT,INSCRIPTO,3,15.0,"VICENTE, NESTOR JORGE",,PAT POSADA DEL SOL EL CHALLAO LAS HERAS MENDOZA,-32.8519831,-68.8973202,1
ALOJAMIENTO,AGUILAS DE PIEDRA,RUTA PROV.82,km31,CACHEUTA,LAS HERAS,4390313,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,25.0,DESARROLLOS INMOBILIARIOS S.A.,,ALOJAMIENTO AGUILAS DE PIEDRA CACHEUTA LAS HERAS MENDOZA,-33.0453401,-69.0711151,1
ALOJAMIENTO,HOTEL BONITO,SAN MARTIN,325,CIUDAD,SAN RAFAEL,0260-4426006,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,T Y G TRAVEL S.R.L.,hotelbonito@gmail.com,ALOJAMIENTO HOTEL BONITO CIUDAD SAN RAFAEL MENDOZA,-34.6127672,-68.3284247,0
CABAÑAS,TERRAZAS AL VALLE,RUTA 173,KM.21,VALLE GRANDE,SAN RAFAEL,011-1530255036,CABAÑAS,1 ESTRELLA,INSCRIPTO,,,KAWIN S.A.,info@terrazasalvalle.com.ar,CABAÃÂ¥AS TERRAZAS AL VALLE VALLE GRANDE SAN RAFAEL MENDOZA,-34.7682794,-68.4243754,0
ALOJAMIENTO,CASAS DEL LAGO,EJERCITO DE LOS ANDES,8000,RAMA CAIDA,SAN RAFAEL,0260-154418273,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30.0,"LEGLISES, PEDRO EDUARDO",,ALOJAMIENTO CASAS DEL LAGO RAMA CAIDA SAN RAFAEL MENDOZA,-34.7383028,-68.3808123,0
ALOJAMIENTO,SHANTI HOSTEL,H.YRIGOYEN,2602,LAS PAREDES,SAN RAFAEL,0260-4435358 - 0111565803201,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"CORIN, JORGELINA MARIANA",,ALOJAMIENTO SHANTI HOSTEL LAS PAREDES SAN RAFAEL MENDOZA,-34.6052175,-68.3613798,0
ALOJAMIENTO,PORTOBELO,BANDERA DE LOS ANDES,1009,SAN JOSE,GUAYMALLEN,4320568,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,36.0,"MARIA LORENA,LUIS,NATALIA Y FEDERICO STABIO",,ALOJAMIENTO PORTOBELO SAN JOSE GUAYMALLEN MENDOZA,-32.8968869,-68.8504996,1
ALOJAMIENTO,BODEGA VISTALBA,ROQUE SAENZ PEÃÂ¥A,3531,VISTALBA,LUJAN DE CUYO,4989400,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,BODEGA VISTALBA S.A.,turismo@cpwines.com,ALOJAMIENTO BODEGA VISTALBA VISTALBA LUJAN DE CUYO MENDOZA,-33.03537,-68.916136,1
ALOJAMIENTO,ENTRE CIELOS,GUARDIA VIEJA,1998,VISTALBA,LUJAN DE CUYO,4988538-156626147,PETIT HOTEL,3 ESTRELLAS,INSCRIPTO,16,32.0,DON SEVERO S.A.,info@entrecielos.com,ALOJAMIENTO ENTRE CIELOS VISTALBA LUJAN DE CUYO MENDOZA,-33.0146894,-68.9095777,1
ALOJAMIENTO,LAS ACEQUIAS,EJERCITO DE LOS ANDES,3300,RAMA CAIDA,SAN RAFAEL,02392-15484759,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BERTOLINI, SOMIA BEATRIZ",info@lasacequiassanrafael.com,ALOJAMIENTO LAS ACEQUIAS RAMA CAIDA SAN RAFAEL MENDOZA,-34.6892676,-68.3647674,0
ALOJAMIENTO,CABAÃÂ¥AS REINA DE LA PAZ,EJERCITO DE LOS ANDES,1100,RAMA CAIDA,SAN RAFAEL,0260-154301312,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18.0,"MIRON, ALFREDO",,ALOJAMIENTO CABAÃÂ¥AS REINA DE LA PAZ RAMA CAIDA SAN RAFAEL MENDOZA,-34.6737779,-68.3599748,0
HOSPEDAJE RURAL,QUERENCIA LODGE LULUNTA,MAZA,S/N,LULUNTA,MAIPU,4449396-156624188,HOSPEDAJE RURAL,HOSPEDAJE RURAL,INSCRIPTO,1,10.0,"BRENNAN, ADOLFO LUIS",,HOSPEDAJE RURAL QUERENCIA LODGE LULUNTA LULUNTA MAIPU MENDOZA,-33.0568609,-68.8280939,1
ALOJAMIENTO,COMPLEJO LOS PARRALES,CALLE 5 A 90 MTS.AL SUR DE STA.FE,S/N,EL DESVIO,GRAL.ALVEAR,02625-15446263,HOSPEDAJE RURAL,HSOPEDAJE RURAL,INSCRIPTO,4,12.0,"RIOS, MARIA VISTORIA",complejolosparrales@hotmail.com,ALOJAMIENTO COMPLEJO LOS PARRALES EL DESVIO GRAL.ALVEAR MENDOZA,-35.0016732,-67.6782403,0
ALOJAMIENTO,CASA LILA,NICOLAS AVELLANEDA,262,CIUDAD,CAPITAL,4296340,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,14.0,"GIOVANELI, MARIELA",info@casalila.com.ar,ALOJAMIENTO CASA LILA CIUDAD CAPITAL MENDOZA,-32.8860258,-68.8528472,1
ALOJAMIENTO,SAINT BERNARD,AV.ALBERDI,6500,CUADRO NACIONAL,SAN RAFAEL,0260-415317417,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GENTILE, ANDRES MIGUEL",,ALOJAMIENTO SAINT BERNARD CUADRO NACIONAL SAN RAFAEL MENDOZA,-34.6179199,-68.2827911,0
ALOJAMIENTO,ESPEJOS DEL RIO,RUTA 175,KM.10220,RAMA CAIDA,SAN RAFAEL,0260-154223945/154589643,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18.0,"TORO, SUSANA ALIZABETH",,ALOJAMIENTO ESPEJOS DEL RIO RAMA CAIDA SAN RAFAEL MENDOZA,-34.7389684,-68.3516038,0
ALOJAMIENTO,CABAÃÂ¥A LA ENRIQUETA,VIDELA ARANDA,6221,RODEO DEL MEDIO,MAIPU,4811310,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"LUCERO, DELIA ENRIQUETA",,ALOJAMIENTO CABAÃÂ¥A LA ENRIQUETA RODEO DEL MEDIO MAIPU MENDOZA,-32.9945801,-68.6858374,1
ALOJAMIENTO,RIO DIAMANTE,PELLEGRINI,330,CIUDAD,SAN RAFAEL,0260-4422499,ALOJAMIENTO,SIN CATEGORIZAR,E/T,21,56.0,"OVIEDO, GUILLERMOG ABRIEL",hotel.riodiamante@gmail.com,ALOJAMIENTO RIO DIAMANTE CIUDAD SAN RAFAEL MENDOZA,-34.6301358,-68.3844497,0
ALOJAMIENTO,CABAÃÂ¥AS CANGALLO,CANGALLO,1428,CIUDAD,SAN RAFAEL,0260-4429110,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,32.0,"CERDA, FRANCISCA",francisca_cerda@hotmail.com,ALOJAMIENTO CABAÃÂ¥AS CANGALLO CIUDAD SAN RAFAEL MENDOZA,-34.6404438,-68.359605,0
ALOJAMIENTO,FINCA LAS MARUJITAS,EL PANTANO FINCA LAS MARUJITAS,S/N,JOCOLI VIEJO,LAVALLE,4573371,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,10.0,FINCA LAS MAURIJITAS S.A.,,ALOJAMIENTO FINCA LAS MARUJITAS JOCOLI VIEJO LAVALLE MENDOZA,-32.7028151,-68.6525779,1
ALOJAMIENTO,HOTEL MARGAL,AV.JUAN B.JUSTO,75,CIUDAD,CAPITAL,4252013-5243617,ALOJAMIENTO,SIN CATEGORIZAR,E/T,19,43.0,ANDREA C. Y GLADYS B. ESCORIHUELA,hotelmargal@hotmail.com,ALOJAMIENTO HOTEL MARGAL CIUDAD CAPITAL MENDOZA,-32.8840704,-68.8498259,1
ALOJAMIENTO,RIO SOÃÂ¥ADO,RUTA 173,"KM.15,5",VALLE GRANDE,SAN RAFAEL,2604585073,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,24.0,"JAEGGI, FABIAN",,ALOJAMIENTO RIO SOÃÂ¥ADO VALLE GRANDE SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
